etngrp,geslacht,oplniv,n
Autochtoon,Man,1,54059
Autochtoon,Man,2,53587
Autochtoon,Man,3,87341
Autochtoon,Vrouw,1,59773
Autochtoon,Vrouw,2,48072
Autochtoon,Vrouw,3,91242
Marokkaans,Man,1,25586
Marokkaans,Man,2,10269
Marokkaans,Man,3,3035
Marokkaans,Vrouw,1,23420
Marokkaans,Vrouw,2,10210
Marokkaans,Vrouw,3,3960
Overig,Man,1,42641
Overig,Man,2,30647
Overig,Man,3,66399
Overig,Vrouw,1,43212
Overig,Vrouw,2,40989
Overig,Vrouw,3,57789
Surinaams,Man,1,13943
Surinaams,Man,2,11354
Surinaams,Man,3,4393
Surinaams,Vrouw,1,13735
Surinaams,Vrouw,2,14332
Surinaams,Vrouw,3,6420
Turks,Man,1,13463
Turks,Man,2,6726
Turks,Man,3,2601
Turks,Vrouw,1,13155
Turks,Vrouw,2,5532
Turks,Vrouw,3,2303
