etngrp,lft,n
Autochtoon,"[0,20)",64396
Autochtoon,"[20,30)",74296
Autochtoon,"[30,40)",61698
Autochtoon,"[40,50)",48196
Autochtoon,"[50,60)",52697
Autochtoon,"[60,70)",44396
Autochtoon,"[70,80)",31697
Autochtoon,"[80,120]",16698
Marokkaans,"[0,20)",25097
Marokkaans,"[20,30)",11898
Marokkaans,"[30,40)",12397
Marokkaans,"[40,50)",10996
Marokkaans,"[50,60)",7897
Marokkaans,"[60,70)",4696
Marokkaans,"[70,80)",2599
Marokkaans,"[80,120]",900
Overig,"[0,20)",53497
Overig,"[20,30)",61497
Overig,"[30,40)",62597
Overig,"[40,50)",39398
Overig,"[50,60)",30697
Overig,"[60,70)",20398
Overig,"[70,80)",9597
Overig,"[80,120]",3996
Surinaams,"[0,20)",11198
Surinaams,"[20,30)",9996
Surinaams,"[30,40)",9996
Surinaams,"[40,50)",9197
Surinaams,"[50,60)",11197
Surinaams,"[60,70)",8197
Surinaams,"[70,80)",3396
Surinaams,"[80,120]",1000
Turks,"[0,20)",11298
Turks,"[20,30)",7597
Turks,"[30,40)",8497
Turks,"[40,50)",7097
Turks,"[50,60)",5496
Turks,"[60,70)",2396
Turks,"[70,80)",1199
Turks,"[80,120]",200
