etngrp,lft,oplniv,n
Autochtoon,"[0,20)",1,60133
Autochtoon,"[0,20)",2,4243
Autochtoon,"[0,20)",3,20
Autochtoon,"[20,30)",1,3466
Autochtoon,"[20,30)",2,28329
Autochtoon,"[20,30)",3,42501
Autochtoon,"[30,40)",1,4555
Autochtoon,"[30,40)",2,11377
Autochtoon,"[30,40)",3,45766
Autochtoon,"[40,50)",1,4735
Autochtoon,"[40,50)",2,13507
Autochtoon,"[40,50)",3,29954
Autochtoon,"[50,60)",1,8984
Autochtoon,"[50,60)",2,18074
Autochtoon,"[50,60)",3,25639
Autochtoon,"[60,70)",1,11233
Autochtoon,"[60,70)",2,12370
Autochtoon,"[60,70)",3,20793
Autochtoon,"[70,80)",1,10472
Autochtoon,"[70,80)",2,8866
Autochtoon,"[70,80)",3,12359
Autochtoon,"[80,120]",1,10254
Autochtoon,"[80,120]",2,4893
Autochtoon,"[80,120]",3,1551
Marokkaans,"[0,20)",1,23714
Marokkaans,"[0,20)",2,1383
Marokkaans,"[0,20)",3,0
Marokkaans,"[20,30)",1,2090
Marokkaans,"[20,30)",2,7937
Marokkaans,"[20,30)",3,1871
Marokkaans,"[30,40)",1,4655
Marokkaans,"[30,40)",2,4771
Marokkaans,"[30,40)",3,2971
Marokkaans,"[40,50)",1,5256
Marokkaans,"[40,50)",2,4162
Marokkaans,"[40,50)",3,1578
Marokkaans,"[50,60)",1,5611
Marokkaans,"[50,60)",2,1763
Marokkaans,"[50,60)",3,523
Marokkaans,"[60,70)",1,4215
Marokkaans,"[60,70)",2,430
Marokkaans,"[60,70)",3,51
Marokkaans,"[70,80)",1,2565
Marokkaans,"[70,80)",2,33
Marokkaans,"[70,80)",3,1
Marokkaans,"[80,120]",1,900
Marokkaans,"[80,120]",2,0
Marokkaans,"[80,120]",3,0
Overig,"[0,20)",1,50701
Overig,"[0,20)",2,2782
Overig,"[0,20)",3,14
Overig,"[20,30)",1,5789
Overig,"[20,30)",2,25207
Overig,"[20,30)",3,30501
Overig,"[30,40)",1,4955
Overig,"[30,40)",2,13088
Overig,"[30,40)",3,44554
Overig,"[40,50)",1,7754
Overig,"[40,50)",2,11234
Overig,"[40,50)",3,20410
Overig,"[50,60)",1,5769
Overig,"[50,60)",2,9769
Overig,"[50,60)",3,15159
Overig,"[60,70)",1,6460
Overig,"[60,70)",2,6426
Overig,"[60,70)",3,7512
Overig,"[70,80)",1,2859
Overig,"[70,80)",2,2667
Overig,"[70,80)",3,4071
Overig,"[80,120]",1,1566
Overig,"[80,120]",2,463
Overig,"[80,120]",3,1967
Surinaams,"[0,20)",1,10397
Surinaams,"[0,20)",2,801
Surinaams,"[0,20)",3,0
Surinaams,"[20,30)",1,1829
Surinaams,"[20,30)",2,6557
Surinaams,"[20,30)",3,1610
Surinaams,"[30,40)",1,2109
Surinaams,"[30,40)",2,5001
Surinaams,"[30,40)",3,2886
Surinaams,"[40,50)",1,2598
Surinaams,"[40,50)",2,4392
Surinaams,"[40,50)",3,2207
Surinaams,"[50,60)",1,4095
Surinaams,"[50,60)",2,5156
Surinaams,"[50,60)",3,1946
Surinaams,"[60,70)",1,3448
Surinaams,"[60,70)",2,3006
Surinaams,"[60,70)",3,1743
Surinaams,"[70,80)",1,2202
Surinaams,"[70,80)",2,773
Surinaams,"[70,80)",3,421
Surinaams,"[80,120]",1,1000
Surinaams,"[80,120]",2,0
Surinaams,"[80,120]",3,0
Turks,"[0,20)",1,10667
Turks,"[0,20)",2,630
Turks,"[0,20)",3,1
Turks,"[20,30)",1,2194
Turks,"[20,30)",2,4115
Turks,"[20,30)",3,1288
Turks,"[30,40)",1,2603
Turks,"[30,40)",2,3742
Turks,"[30,40)",3,2152
Turks,"[40,50)",1,4051
Turks,"[40,50)",2,2038
Turks,"[40,50)",3,1008
Turks,"[50,60)",1,3555
Turks,"[50,60)",2,1572
Turks,"[50,60)",3,369
Turks,"[60,70)",1,2161
Turks,"[60,70)",2,155
Turks,"[60,70)",3,80
Turks,"[70,80)",1,1187
Turks,"[70,80)",2,6
Turks,"[70,80)",3,6
Turks,"[80,120]",1,200
Turks,"[80,120]",2,0
Turks,"[80,120]",3,0
