geslacht,etngrp,oplniv,n
Man,Autochtoon,1,54059
Man,Autochtoon,2,53587
Man,Autochtoon,3,87341
Man,Marokkaans,1,25586
Man,Marokkaans,2,10269
Man,Marokkaans,3,3035
Man,Overig,1,42641
Man,Overig,2,30647
Man,Overig,3,66399
Man,Surinaams,1,13943
Man,Surinaams,2,11354
Man,Surinaams,3,4393
Man,Turks,1,13463
Man,Turks,2,6726
Man,Turks,3,2601
Vrouw,Autochtoon,1,59773
Vrouw,Autochtoon,2,48072
Vrouw,Autochtoon,3,91242
Vrouw,Marokkaans,1,23420
Vrouw,Marokkaans,2,10210
Vrouw,Marokkaans,3,3960
Vrouw,Overig,1,43212
Vrouw,Overig,2,40989
Vrouw,Overig,3,57789
Vrouw,Surinaams,1,13735
Vrouw,Surinaams,2,14332
Vrouw,Surinaams,3,6420
Vrouw,Turks,1,13155
Vrouw,Turks,2,5532
Vrouw,Turks,3,2303
