geslacht,lft,etngrp,n
Man,"[0,20)",Autochtoon,32698
Man,"[0,20)",Marokkaans,12799
Man,"[0,20)",Overig,27099
Man,"[0,20)",Surinaams,5699
Man,"[0,20)",Turks,5899
Man,"[20,30)",Autochtoon,33798
Man,"[20,30)",Marokkaans,5899
Man,"[20,30)",Overig,28598
Man,"[20,30)",Surinaams,4998
Man,"[20,30)",Turks,3899
Man,"[30,40)",Autochtoon,31899
Man,"[30,40)",Marokkaans,5799
Man,"[30,40)",Overig,31498
Man,"[30,40)",Surinaams,4798
Man,"[30,40)",Turks,4399
Man,"[40,50)",Autochtoon,25598
Man,"[40,50)",Marokkaans,5498
Man,"[40,50)",Overig,19799
Man,"[40,50)",Surinaams,4199
Man,"[40,50)",Turks,3598
Man,"[50,60)",Autochtoon,27599
Man,"[50,60)",Marokkaans,4298
Man,"[50,60)",Overig,16198
Man,"[50,60)",Surinaams,4899
Man,"[50,60)",Turks,2998
Man,"[60,70)",Autochtoon,22598
Man,"[60,70)",Marokkaans,2398
Man,"[60,70)",Overig,10299
Man,"[60,70)",Surinaams,3599
Man,"[60,70)",Turks,1198
Man,"[70,80)",Autochtoon,14798
Man,"[70,80)",Marokkaans,1599
Man,"[70,80)",Overig,4698
Man,"[70,80)",Surinaams,1498
Man,"[70,80)",Turks,599
Man,"[80,120]",Autochtoon,5999
Man,"[80,120]",Marokkaans,600
Man,"[80,120]",Overig,1498
Man,"[80,120]",Surinaams,0
Man,"[80,120]",Turks,200
Vrouw,"[0,20)",Autochtoon,31698
Vrouw,"[0,20)",Marokkaans,12298
Vrouw,"[0,20)",Overig,26398
Vrouw,"[0,20)",Surinaams,5499
Vrouw,"[0,20)",Turks,5399
Vrouw,"[20,30)",Autochtoon,40498
Vrouw,"[20,30)",Marokkaans,5999
Vrouw,"[20,30)",Overig,32899
Vrouw,"[20,30)",Surinaams,4998
Vrouw,"[20,30)",Turks,3698
Vrouw,"[30,40)",Autochtoon,29799
Vrouw,"[30,40)",Marokkaans,6598
Vrouw,"[30,40)",Overig,31099
Vrouw,"[30,40)",Surinaams,5198
Vrouw,"[30,40)",Turks,4098
Vrouw,"[40,50)",Autochtoon,22598
Vrouw,"[40,50)",Marokkaans,5498
Vrouw,"[40,50)",Overig,19599
Vrouw,"[40,50)",Surinaams,4998
Vrouw,"[40,50)",Turks,3499
Vrouw,"[50,60)",Autochtoon,25098
Vrouw,"[50,60)",Marokkaans,3599
Vrouw,"[50,60)",Overig,14499
Vrouw,"[50,60)",Surinaams,6298
Vrouw,"[50,60)",Turks,2498
Vrouw,"[60,70)",Autochtoon,21798
Vrouw,"[60,70)",Marokkaans,2298
Vrouw,"[60,70)",Overig,10099
Vrouw,"[60,70)",Surinaams,4598
Vrouw,"[60,70)",Turks,1198
Vrouw,"[70,80)",Autochtoon,16899
Vrouw,"[70,80)",Marokkaans,1000
Vrouw,"[70,80)",Overig,4899
Vrouw,"[70,80)",Surinaams,1898
Vrouw,"[70,80)",Turks,600
Vrouw,"[80,120]",Autochtoon,10699
Vrouw,"[80,120]",Marokkaans,300
Vrouw,"[80,120]",Overig,2498
Vrouw,"[80,120]",Surinaams,1000
Vrouw,"[80,120]",Turks,0
