lft,etngrp,oplniv,n
"[0,20)",Autochtoon,1,60133
"[0,20)",Autochtoon,2,4243
"[0,20)",Autochtoon,3,20
"[0,20)",Marokkaans,1,23714
"[0,20)",Marokkaans,2,1383
"[0,20)",Marokkaans,3,0
"[0,20)",Overig,1,50701
"[0,20)",Overig,2,2782
"[0,20)",Overig,3,14
"[0,20)",Surinaams,1,10397
"[0,20)",Surinaams,2,801
"[0,20)",Surinaams,3,0
"[0,20)",Turks,1,10667
"[0,20)",Turks,2,630
"[0,20)",Turks,3,1
"[20,30)",Autochtoon,1,3466
"[20,30)",Autochtoon,2,28329
"[20,30)",Autochtoon,3,42501
"[20,30)",Marokkaans,1,2090
"[20,30)",Marokkaans,2,7937
"[20,30)",Marokkaans,3,1871
"[20,30)",Overig,1,5789
"[20,30)",Overig,2,25207
"[20,30)",Overig,3,30501
"[20,30)",Surinaams,1,1829
"[20,30)",Surinaams,2,6557
"[20,30)",Surinaams,3,1610
"[20,30)",Turks,1,2194
"[20,30)",Turks,2,4115
"[20,30)",Turks,3,1288
"[30,40)",Autochtoon,1,4555
"[30,40)",Autochtoon,2,11377
"[30,40)",Autochtoon,3,45766
"[30,40)",Marokkaans,1,4655
"[30,40)",Marokkaans,2,4771
"[30,40)",Marokkaans,3,2971
"[30,40)",Overig,1,4955
"[30,40)",Overig,2,13088
"[30,40)",Overig,3,44554
"[30,40)",Surinaams,1,2109
"[30,40)",Surinaams,2,5001
"[30,40)",Surinaams,3,2886
"[30,40)",Turks,1,2603
"[30,40)",Turks,2,3742
"[30,40)",Turks,3,2152
"[40,50)",Autochtoon,1,4735
"[40,50)",Autochtoon,2,13507
"[40,50)",Autochtoon,3,29954
"[40,50)",Marokkaans,1,5256
"[40,50)",Marokkaans,2,4162
"[40,50)",Marokkaans,3,1578
"[40,50)",Overig,1,7754
"[40,50)",Overig,2,11234
"[40,50)",Overig,3,20410
"[40,50)",Surinaams,1,2598
"[40,50)",Surinaams,2,4392
"[40,50)",Surinaams,3,2207
"[40,50)",Turks,1,4051
"[40,50)",Turks,2,2038
"[40,50)",Turks,3,1008
"[50,60)",Autochtoon,1,8984
"[50,60)",Autochtoon,2,18074
"[50,60)",Autochtoon,3,25639
"[50,60)",Marokkaans,1,5611
"[50,60)",Marokkaans,2,1763
"[50,60)",Marokkaans,3,523
"[50,60)",Overig,1,5769
"[50,60)",Overig,2,9769
"[50,60)",Overig,3,15159
"[50,60)",Surinaams,1,4095
"[50,60)",Surinaams,2,5156
"[50,60)",Surinaams,3,1946
"[50,60)",Turks,1,3555
"[50,60)",Turks,2,1572
"[50,60)",Turks,3,369
"[60,70)",Autochtoon,1,11233
"[60,70)",Autochtoon,2,12370
"[60,70)",Autochtoon,3,20793
"[60,70)",Marokkaans,1,4215
"[60,70)",Marokkaans,2,430
"[60,70)",Marokkaans,3,51
"[60,70)",Overig,1,6460
"[60,70)",Overig,2,6426
"[60,70)",Overig,3,7512
"[60,70)",Surinaams,1,3448
"[60,70)",Surinaams,2,3006
"[60,70)",Surinaams,3,1743
"[60,70)",Turks,1,2161
"[60,70)",Turks,2,155
"[60,70)",Turks,3,80
"[70,80)",Autochtoon,1,10472
"[70,80)",Autochtoon,2,8866
"[70,80)",Autochtoon,3,12359
"[70,80)",Marokkaans,1,2565
"[70,80)",Marokkaans,2,33
"[70,80)",Marokkaans,3,1
"[70,80)",Overig,1,2859
"[70,80)",Overig,2,2667
"[70,80)",Overig,3,4071
"[70,80)",Surinaams,1,2202
"[70,80)",Surinaams,2,773
"[70,80)",Surinaams,3,421
"[70,80)",Turks,1,1187
"[70,80)",Turks,2,6
"[70,80)",Turks,3,6
"[80,120]",Autochtoon,1,10254
"[80,120]",Autochtoon,2,4893
"[80,120]",Autochtoon,3,1551
"[80,120]",Marokkaans,1,900
"[80,120]",Marokkaans,2,0
"[80,120]",Marokkaans,3,0
"[80,120]",Overig,1,1566
"[80,120]",Overig,2,463
"[80,120]",Overig,3,1967
"[80,120]",Surinaams,1,1000
"[80,120]",Surinaams,2,0
"[80,120]",Surinaams,3,0
"[80,120]",Turks,1,200
"[80,120]",Turks,2,0
"[80,120]",Turks,3,0
