etngrp_src,geslacht_src,etngrp_dst,geslacht_dst,n
Autochtoon,Man,Autochtoon,Man,1811380
Autochtoon,Man,Autochtoon,Vrouw,1743640
Autochtoon,Man,Marokkaans,Man,209060
Autochtoon,Man,Marokkaans,Vrouw,166000
Autochtoon,Man,Overig,Man,928810
Autochtoon,Man,Overig,Vrouw,874400
Autochtoon,Man,Surinaams,Man,191840
Autochtoon,Man,Surinaams,Vrouw,200870
Autochtoon,Man,Turks,Man,110540
Autochtoon,Man,Turks,Vrouw,75770
Autochtoon,Vrouw,Autochtoon,Man,1727600
Autochtoon,Vrouw,Autochtoon,Vrouw,2556150
Autochtoon,Vrouw,Marokkaans,Man,169820
Autochtoon,Vrouw,Marokkaans,Vrouw,240160
Autochtoon,Vrouw,Overig,Man,815450
Autochtoon,Vrouw,Overig,Vrouw,1099960
Autochtoon,Vrouw,Surinaams,Man,153400
Autochtoon,Vrouw,Surinaams,Vrouw,287320
Autochtoon,Vrouw,Turks,Man,83640
Autochtoon,Vrouw,Turks,Vrouw,112700
Marokkaans,Man,Autochtoon,Man,213180
Marokkaans,Man,Autochtoon,Vrouw,172960
Marokkaans,Man,Marokkaans,Man,173000
Marokkaans,Man,Marokkaans,Vrouw,138700
Marokkaans,Man,Overig,Man,184700
Marokkaans,Man,Overig,Vrouw,147640
Marokkaans,Man,Surinaams,Man,62380
Marokkaans,Man,Surinaams,Vrouw,49020
Marokkaans,Man,Turks,Man,79550
Marokkaans,Man,Turks,Vrouw,60570
Marokkaans,Vrouw,Autochtoon,Man,171050
Marokkaans,Vrouw,Autochtoon,Vrouw,246300
Marokkaans,Vrouw,Marokkaans,Man,139550
Marokkaans,Vrouw,Marokkaans,Vrouw,216360
Marokkaans,Vrouw,Overig,Man,140830
Marokkaans,Vrouw,Overig,Vrouw,184920
Marokkaans,Vrouw,Surinaams,Man,38570
Marokkaans,Vrouw,Surinaams,Vrouw,74890
Marokkaans,Vrouw,Turks,Man,56080
Marokkaans,Vrouw,Turks,Vrouw,88660
Overig,Man,Autochtoon,Man,937020
Overig,Man,Autochtoon,Vrouw,827880
Overig,Man,Marokkaans,Man,183990
Overig,Man,Marokkaans,Vrouw,141250
Overig,Man,Overig,Man,1121490
Overig,Man,Overig,Vrouw,996370
Overig,Man,Surinaams,Man,173910
Overig,Man,Surinaams,Vrouw,159070
Overig,Man,Turks,Man,94780
Overig,Man,Turks,Vrouw,65230
Overig,Vrouw,Autochtoon,Man,877280
Overig,Vrouw,Autochtoon,Vrouw,1115820
Overig,Vrouw,Marokkaans,Man,147730
Overig,Vrouw,Marokkaans,Vrouw,184730
Overig,Vrouw,Overig,Man,998270
Overig,Vrouw,Overig,Vrouw,858250
Overig,Vrouw,Surinaams,Man,144210
Overig,Vrouw,Surinaams,Vrouw,214490
Overig,Vrouw,Turks,Man,81600
Overig,Vrouw,Turks,Vrouw,89180
Surinaams,Man,Autochtoon,Man,201220
Surinaams,Man,Autochtoon,Vrouw,161570
Surinaams,Man,Marokkaans,Man,63290
Surinaams,Man,Marokkaans,Vrouw,38820
Surinaams,Man,Overig,Man,187790
Surinaams,Man,Overig,Vrouw,150520
Surinaams,Man,Surinaams,Man,107650
Surinaams,Man,Surinaams,Vrouw,85510
Surinaams,Man,Turks,Man,36160
Surinaams,Man,Turks,Vrouw,16890
Surinaams,Vrouw,Autochtoon,Man,211530
Surinaams,Vrouw,Autochtoon,Vrouw,303410
Surinaams,Vrouw,Marokkaans,Man,50680
Surinaams,Vrouw,Marokkaans,Vrouw,77250
Surinaams,Vrouw,Overig,Man,166910
Surinaams,Vrouw,Overig,Vrouw,222390
Surinaams,Vrouw,Surinaams,Man,86600
Surinaams,Vrouw,Surinaams,Vrouw,184530
Surinaams,Vrouw,Turks,Man,22940
Surinaams,Vrouw,Turks,Vrouw,34380
Turks,Man,Autochtoon,Man,117350
Turks,Man,Autochtoon,Vrouw,88670
Turks,Man,Marokkaans,Man,80410
Turks,Man,Marokkaans,Vrouw,55800
Turks,Man,Overig,Man,97400
Turks,Man,Overig,Vrouw,83640
Turks,Man,Surinaams,Man,34760
Turks,Man,Surinaams,Vrouw,22520
Turks,Man,Turks,Man,73640
Turks,Man,Turks,Vrouw,40700
Turks,Vrouw,Autochtoon,Man,78530
Turks,Vrouw,Autochtoon,Vrouw,117300
Turks,Vrouw,Marokkaans,Man,61030
Turks,Vrouw,Marokkaans,Vrouw,89170
Turks,Vrouw,Overig,Man,64900
Turks,Vrouw,Overig,Vrouw,89920
Turks,Vrouw,Surinaams,Man,16560
Turks,Vrouw,Surinaams,Vrouw,34010
Turks,Vrouw,Turks,Man,42700
Turks,Vrouw,Turks,Vrouw,53430
