geslacht_src,oplniv_src,geslacht_dst,oplniv_dst,n
Man,1,Man,1,1784980
Man,1,Man,2,390910
Man,1,Man,3,206040
Man,1,Vrouw,1,1492060
Man,1,Vrouw,2,310640
Man,1,Vrouw,3,193070
Man,2,Man,1,390370
Man,2,Man,2,1111230
Man,2,Man,3,653710
Man,2,Vrouw,1,239950
Man,2,Vrouw,2,824650
Man,2,Vrouw,3,595470
Man,3,Man,1,201860
Man,3,Man,2,602050
Man,3,Man,3,2134150
Man,3,Vrouw,1,143910
Man,3,Vrouw,2,569880
Man,3,Vrouw,3,2194380
Vrouw,1,Man,1,1491380
Vrouw,1,Man,2,241420
Vrouw,1,Man,3,158280
Vrouw,1,Vrouw,1,1679290
Vrouw,1,Vrouw,2,382900
Vrouw,1,Vrouw,3,194560
Vrouw,2,Man,1,314850
Vrouw,2,Man,2,825780
Vrouw,2,Man,3,591560
Vrouw,2,Vrouw,1,375350
Vrouw,2,Vrouw,2,1519650
Vrouw,2,Vrouw,3,861310
Vrouw,3,Man,1,185260
Vrouw,3,Man,2,565650
Vrouw,3,Man,3,2173280
Vrouw,3,Vrouw,1,180110
Vrouw,3,Vrouw,2,831540
Vrouw,3,Vrouw,3,2750970
